,id,title,date,rating,helpful,review
0,R205AWG8UMOSD6,It will do.,"Reviewed in the United States 🇺🇸 on September 23, 2022",3.0 out of 5 stars,6 people found this helpful,"I bought this for school and I just hope I don't burn my house down with it. The cord and brick get very hot. I actually burnt my hand picking it up. Not sure if the touch screen is a thing or not, doesn't seem to be. And the battery life is short and unpredictable. Other than that it's fine. I'm not going to be buying from this store again. The payment process was a mess and shipping kept getting delayed. Then for some reason they sent it from Florida, to New York, only to come back down to Tennessee. Took forever and I needed it for the beginning of school. All in all I'd just have to say don't do it."
1,R2OA7GIJL752HW,Battery died within a few hours,"Reviewed in the United States 🇺🇸 on November 10, 2022",3.0 out of 5 stars,One person found this helpful,I was only able to use this laptop for a few hours until the internal battery started shorting and could not be easily replaced. Other laptops let you take their battery out but this company wants to increase electronic waste by forcing you to replace the entire laptop when the battery fails.At least Amazon makes it easy to return :)
2,R3SK0LX96HGBBG,Reliable,"Reviewed in the United States 🇺🇸 on August 3, 2022",4.0 out of 5 stars,3 people found this helpful,"Is a good working laptop. the battery only gives ~1.5 hrs of operation, but I understand that is a refurbished laptop that still has the original battery. I have already it with a longer life battery and is working satisfactorily so far."
3,RWAIRZSRL6HH4,Great product,"Reviewed in the United States 🇺🇸 on December 4, 2022",5.0 out of 5 stars,One person found this helpful,I did not encounter any problem on this laptop it's fast and good Performance makes me satisfied.
4,RDPCSUYVYFZPT,It is what it is..,"Reviewed in the United States 🇺🇸 on December 2, 2022",5.0 out of 5 stars,One person found this helpful,For the pricepoint and just doing your school papers or doing office work...it's a great little machine...
5,R1FU5JF5S1N4Z6,Dell laptop,"Reviewed in the United States 🇺🇸 on October 18, 2022",5.0 out of 5 stars,4 people found this helpful,My computer suddenly crashed and I was in need of a new laptop. There were so many to choose from on Amazon I really went by the reviews for the dell laptop. I’ve had the computer for about a month and I have not had any problems with it whatsoever I’m very happy with my purchase and you can’t beat it for the price.
6,R31M1G7NU9L2LZ,nice pc.,"Reviewed in the United States 🇺🇸 on December 4, 2022",5.0 out of 5 stars,2 people found this helpful,nice pc. turns on quick. delivered on time.
7,R2KUWS6GNQLU3N,Great for gaming,"Reviewed in the United States 🇺🇸 on May 18, 2020",4.0 out of 5 stars,71 people found this helpful,"Everything about this laptop i like and i am very satisfied, with 8G RAM and 256G ROM my gaming experience is more enjoyable than what it use to be, i still suck at it though...lol. E-mail, facebook, you tube... everything that needs to load or play a video will play and load almost instantly. i dont feel embarrass when doing a presentation because of the little buffering wheel in the scree. I had a 4G RAM AND 64G ROM, it work great never had an issue, it was just old, so i replace it and i wish i would off done it sooner. i need lots of storage but i solve that problem with an external [hard drive] Book. I keep it in my house and as long as it has an internet connection i can access it from anywhere. I strongly recommend itWhen buying a...... Smart Phone,Tablets, Laptop or Desk top, i always look for The RAM, ROM, PROCESSOR and VIDEO/SCREEN QUALITY. For those not familiar or electronic smart, the higher the number the better experience you will have. Lots of people might or might not agree with me. but for those that dont know anything about electronics this will help you a lot. Dont look for the price or the brand unless you care more about Name brands and not performance. Alway try looking for a 6G ROM or better and that will give you an idea. hope this help you a little more."
8,R514LWO6ZWJY1,Dell Latitude E5470 HD Business Laptop Notebook,"Reviewed in the United States 🇺🇸 on November 17, 2022",5.0 out of 5 stars,One person found this helpful,Nice size and feel with fast response. Very quiet and does not get like many laptops
9,R3PBSEZUJ6DIG8,Includes everything I needed for my work laptop,"Reviewed in the United States 🇺🇸 on May 17, 2022",4.0 out of 5 stars,6 people found this helpful,"Even though I purchased a refurbished dell laptop, it works just like it’s brand new! I started a new career in insurance and needed to buy a specific work laptop last minute….not disappointed at all with my purchase."
10,R2CO4YC4FWEELN,Not used the Camara but it is a 720,"Reviewed in the United States 🇺🇸 on May 16, 2022",4.0 out of 5 stars,One person found this helpful,Battery is dead after 3 weeks so now it us a desk top hoping fo a new battery that lasts
11,R3PKIHHYCO7M7I,Exactly as advertised,"Reviewed in the United States 🇺🇸 on September 3, 2022",5.0 out of 5 stars,2 people found this helpful,
